Tiedosto,Numero,Tunnus,Paikkakunta,Latitude,Longitude,Murrealue,Murreryhmä,Sukupuoli,Syntymäaika,Haastatteluaika
xSKN43a.txxtx,43,a,Pielisjärvi,63.383567984,30.383208118,Savolaismurteet,Pohjois-Karjala,nainen,1878,1964
xSKN43b.txxtx,43,b,Pielisjärvi,63.341270432,29.864482818,Savolaismurteet,Pohjois-Karjala,mies,1885,1964
xSKN44a.txxtx,44,a,Kitee,62.104236494,30.343802309,Savolaismurteet,Pohjois-Karjala,nainen,1888,1964
xSKN44b.txxtx,44,b,Kitee,62.044355216,30.117278832,Savolaismurteet,Pohjois-Karjala,mies,1884,1964
xSKN45a.txxtx,45,a,Heinola,61.188540289,26.036449981,Hämäläismurteet,Kaakkois-Häme,nainen,1882,1960
xSKN45b.txxtx,45,b,Heinola,61.094091088,25.955051302,Hämäläismurteet,Kaakkois-Häme,mies,1893,1963
xSKN46a.txxtx,46,a,Ilmajoki,62.675571626,22.738025688,Etelä-Pohjanmaa,Etelä-Pohjanmaa,nainen,1882,1965
xSKN46b.txxtx,46,b,Ilmajoki,62.726985959,22.648776833,Etelä-Pohjanmaa,Etelä-Pohjanmaa,mies,1884,1962
xSKN47a.txxtx,47,a,Saarijärvi,62.717828202,25.024055451,Savolaismurteet,Keski-Suomi,mies,1878,1961
xSKN47b.txxtx,47,b,Saarijärvi,62.695079834,25.049917245,Savolaismurteet,Keski-Suomi,nainen,1887,1961
xSKN48a.txxtx,48,a,Vittanki,67.76610270964838,22.341391894998864,Peräpohjola,Tornio,mies,1893,1965
xSKN48b.txxtx,48,b,Vittanki,68.09090797787513,21.702154268722225,Peräpohjola,Tornio,nainen,1895,1971
xSKN49a.txxtx,49,a,Vermlanti,60.41894217111672,12.71910531922681,Savolaismurteet,Pohjois-Savo,mies,1874,1963
xSKN49b.txxtx,49,b,Vermlanti,60.49387205553462,12.867139633947334,Savolaismurteet,Pohjois-Savo,mies,1900,1962
xSKN50a.txxtx,50,a,Eurajoki,61.200267424,21.833687026,Lounaismurteet,Lounaismurteiden pohjoisryhmä,nainen,1895,1963
xSKN50b.txxtx,50,b,Eurajoki,61.242703915,21.753409611,Lounaismurteet,Lounaismurteiden pohjoisryhmä,mies,1873,1963
